booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
100000,424,Customer_424,Group,2023-07-03,Manali,Platinum,38,Crimson Courtyard,Manali,3,Mid-Range,40,2024-06-01,2024-08-30,2024-09-03,Deluxe,2,4,OTA,5808.46,0.0,NONE,46467.68,Debit Card,Cancelled,,
100001,239,Customer_239,Individual,2022-07-18,Jaipur,None,32,Saffron Palace,Pune,5,Mid-Range,30,2024-06-06,2024-07-01,2024-07-05,Standard,1,4,Corporate Portal,4021.62,0.0,,16086.48,Net Banking,Cancelled,,
100002,301,Customer_301,Corporate,2023-07-05,Jaipur,Gold,53,Saffron Heights,Chennai,3,Luxury,150,2024-02-15,2024-02-22,2024-02-25,Deluxe,2,3,Corporate Portal,17663.11,15373.35,SAVE10,90605.31,Net Banking,Completed,,
100003,722,Customer_722,Individual,2022-11-07,Udaipur,None,43,Indigo Lodge,Bangalore,3,Mid-Range,100,2024-07-10,2024-08-04,2024-08-07,Deluxe,1,3,OTA,5885.85,0.0,NONE,17657.55,Credit Card,No-Show,,
100004,306,Customer_306,Corporate,2022-02-02,Udaipur,Silver,29,Cedar Lodge,Kochi,5,Mid-Range,60,2024-10-27,2024-11-11,2024-11-18,Deluxe,2,7,Direct Website,6199.44,5924.82,SAVE10,80867.34,Credit Card,Completed,6.0,2024-11-21
100005,396,Customer_396,Individual,2022-06-04,Kochi,None,6,Hilltop Inn,Udaipur,5,Luxury,60,2023-11-15,2024-01-14,2024-01-18,Deluxe,1,4,Corporate Portal,28475.74,16492.59,WELCOME,97410.37,Net Banking,Cancelled,,
100006,326,Customer_326,Corporate,2023-12-21,Kochi,Gold,37,Olive Lodge,Udaipur,3,Budget,40,2024-10-09,2024-11-18,2024-11-20,Standard,2,2,OTA,3286.32,2625.92,WELCOME,10519.36,Debit Card,Completed,,
100007,85,Customer_85,Individual,2022-07-25,Udaipur,None,45,Cedar Heights,Udaipur,3,Budget,120,2024-06-05,2024-06-30,2024-07-02,Deluxe,1,2,Corporate Portal,4152.34,0.0,,8304.68,Credit Card,Completed,3.0,2024-07-13
100008,318,Customer_318,Individual,2023-06-10,Manali,Platinum,35,Maple Retreat,Bangalore,2,Premium,100,2024-11-19,2024-12-14,2024-12-17,Standard,1,3,Corporate Portal,8795.64,2472.47,FEST15,23914.45,Credit Card,Completed,,
100009,424,Customer_424,Group,2023-07-03,Manali,Platinum,11,Coral Palace,Mumbai,3,Premium,100,2024-12-10,2024-12-12,2024-12-19,Standard,2,7,OTA,10413.32,0.0,NONE,145786.48,UPI,Completed,,
